번호	상호	영업표지	대표자	등록번호	최초등록일	업종
12437	국민부대찌개법원점	국민부대찌개	김성환	20200609	2020.05.18	한식
12436	(주)하루에프앤비	하루엔소쿠	한덕희	20160451	2016.05.16	일식
12435	명성F&B	명성가	박태우	20211634	2021.07.22	한식
12434	(주)홍락	미래회관	이승훈	20230139	2023.01.30	한식
12433	아사에프앤비(주)	아사(ASA)커피랩	김영진	20241640	2024.12.06	커피
12432	(주)컴퍼스에프앤비	하마네아구찜	오진형	20230686	2023.05.15	한식
12431	(주)휘게팔레트	휘게팔레트	고경민	20240578	2024.04.23	이미용
12430	동양찻집	동양찻집	이정옥	20250052	2025.01.10	음료 (커피 외)
12429	오리엔탈에프엔비(주)	술속의밤	신민기	20213290	2021.10.26	주점
12428	오리엔탈에프엔비(주)	치킨갱스터	신민기	20213094	2021.10.22	치킨
12427	(주)잇사이트	뭉텅	방강현,방강민	20230294	2023.02.21	한식
12426	SSF&C	언양닭칼국수	고영민	20191312	2019.12.06	한식
12425	(주)브루클린브리즈	잇츠베이글	정경혜	20231324	2023.09.12	기타 외식
12424	(주)필드키친	1992덮밥&짜글이	강규원	20210513	2021.02.24	한식
12423	(주)육대장	육대장	이경현	20120100694	2012.12.12	기타 외식
12422	(주)데이앤데이	데이앤데이(day&day)	백철민	20150691	2015.07.29	편의점
12421	갱상도달리부대볶음	갱상도달리부대볶음	변은지	20250058	2025.01.10	한식
12420	대한스포츠클라이밍협회	몽키즈클라이밍	구재성	20250051	2025.01.10	스포츠 관련
12419	(주)이안코	이안코	조용재	20241533	2024.11.11	커피
12418	기똥찬구이집	기똥찬구이집	곽동찬	20250054	2025.01.10	한식
12417	(주)브랜잇	타코잇(TACOEAT)	민세진	20250049	2025.01.10	기타 외국식
12416	빅대디에프앤비(F&B)	빅대디 포장마차	이기룡	20250057	2025.01.10	치킨
12415	(주)구들	만두팡팡	고영봉	20250056	2025.01.10	중식
12414	(주)모뉴먼트파트너스	스모야 SUMOYA	박병욱	20250050	2025.01.10	일식
12413	한세에프앤비	다코기	최현해	20200938	2020.07.28	치킨
12412	(주)홈스푸드	비비당	최성식	20211361	2021.06.11	한식
12411	신사우코리아	신사우 물갈비	신영호	20220997	2022.09.27	한식
12410	남동풍(주)	마을카페남동풍	임승호	20250055	2025.01.10	커피
12409	(유)에스와이에스	피자의 생명은 치즈다	임연수	20213172	2021.10.25	피자
12408	㈜만재푸드	산더미미성돼지국밥	송민재	20241027	2024.07.26	한식
12407	사나래유통	SNS무인분식	정은숙	20212357	2021.10.05	편의점
12406	(주)제로백	제로백피트니스(ZEROBACK FITNESS)	정영진	20240349	2024.03.07	스포츠 관련
12405	이수페	이수페	허정희	20214274	2021.11.08	커피
12404	(주)행복한상상에프앤비	고기굽는방앗간	이미숙	20212202	2021.09.16	한식
12403	(주)슬리밍고그룹	카페드슬리밍고	엄태호	20221205	2022.11.14	기타 서비스
12402	오티씨(OTC)	오티씨 커피	정범석	20241410	2024.10.18	커피
12401	국밥오야봉가맹본부	국밥오야봉	김태민	20221347	2022.12.08	한식
12400	(주)한솔에프앤비	부강진성민속촌	한상철	20240206	2024.02.07	한식
12399	(주)오공일	대한면국	변혁주	20241316	2024.09.25	한식
12398	(주)새모양에프앤비	달빛에 구운 고등어	이전무	20200808	2020.07.02	한식
12397	제이씨푸드(주)	추풍정	정선모 추우영	20191336	2019.12.11	한식
12396	미림숯불갈비(호계점)	미림 숯불갈비	한성우	20240293	2024.02.23	한식
12395	(주)연우디자인	맨날국수	김기영	20200332	2020.03.06	한식
12394	(주)피프티세븐	한찜두찜 돼지김치찜	이옥철	20241423	2024.10.23	한식
12393	(주)헤이키컴퍼니	헤이키 커피	노우성	20214193	2021.11.05	커피
12392	(주)채선당	채선당 면가	김익수	20240506	2024.04.03	한식
12391	주식화사반려동물	털로 덮인 친구들	김지연	20240060	2024.01.10	반려동물 관련
12390	(주)맛잡은손	편백회관	우지형	20231332	2023.09.15	한식
12389	포식코리아	포식(PHO食)	김봉준	20201260	2020.09.25	기타 외국식
12388	(주)맥스교육	패스트랙키즈(FasTracKids)	신난향	20130100011	2013.01.30	기타 교육
12387	(주)맥스교육	에프티케이잉글리쉬(FTK English)	신난향	20110100378	2011.08.24	교육 (외국어)
12386	(주)홈즈앤루팡	폴인포케	서해원	20214453	2021.11.09	기타 외식
12385	(주)채선당	Freshsal	김익수	20230488	2023.04.03	기타 외식
12384	(주)채선당	범퍼커피(BUMPER COFFEE)	김익수	20212351	2021.10.01	커피
12383	(주)채선당	채선당밀키트24	김익수	20211958	2021.08.26	기타 외식
12382	(주)채선당	채선당도시락&샐러드	김익수	20200017	2020.01.03	기타 외식
12381	(주)채선당	채선당키친	김익수	20200849	2020.07.09	기타 외식
12380	(주)채선당	행복가마솥밥&알솥밥	김익수	20170703	2017.06.16	한식
12379	(주)채선당	샤브보트	김익수	20160771	2016.08.06	한식
